site_no,gage_name,Date,year,month,day,cfs
08170000,San Marcos Springs,1956-09-13,1956,9,13,62
08170000,San Marcos Springs,1956-09-14,1956,9,14,60
08170000,San Marcos Springs,1956-09-15,1956,9,15,59
08170000,San Marcos Springs,1956-09-16,1956,9,16,59
08170000,San Marcos Springs,1956-09-17,1956,9,17,59
08170000,San Marcos Springs,1956-09-18,1956,9,18,59
08170000,San Marcos Springs,1956-09-19,1956,9,19,58
08170000,San Marcos Springs,1956-09-20,1956,9,20,56
08170000,San Marcos Springs,1956-09-21,1956,9,21,56
08170000,San Marcos Springs,1956-09-22,1956,9,22,56
08170000,San Marcos Springs,1956-09-23,1956,9,23,58
08170000,San Marcos Springs,1956-09-24,1956,9,24,60
08170000,San Marcos Springs,1956-09-25,1956,9,25,60
08170000,San Marcos Springs,1956-09-26,1956,9,26,58
08170000,San Marcos Springs,1956-09-27,1956,9,27,55
08170000,San Marcos Springs,1956-09-28,1956,9,28,50
08170000,San Marcos Springs,1956-09-29,1956,9,29,60
08170000,San Marcos Springs,1956-09-30,1956,9,30,62
08170000,San Marcos Springs,1956-10-01,1956,10,1,61
08170000,San Marcos Springs,1956-10-02,1956,10,2,60
08170000,San Marcos Springs,1956-10-03,1956,10,3,60
08170000,San Marcos Springs,1956-10-04,1956,10,4,59
08170000,San Marcos Springs,1956-10-05,1956,10,5,59
08170000,San Marcos Springs,1956-10-06,1956,10,6,60
08170000,San Marcos Springs,1956-10-07,1956,10,7,60
08170000,San Marcos Springs,1956-10-08,1956,10,8,64
08170000,San Marcos Springs,1956-10-09,1956,10,9,68
08170000,San Marcos Springs,1956-10-10,1956,10,10,64
08170000,San Marcos Springs,1956-10-11,1956,10,11,65
08170000,San Marcos Springs,1956-10-12,1956,10,12,67
08170000,San Marcos Springs,1956-10-13,1956,10,13,65
08170000,San Marcos Springs,1956-10-14,1956,10,14,64
08170000,San Marcos Springs,1956-10-15,1956,10,15,64
08170000,San Marcos Springs,1956-10-16,1956,10,16,62
08170000,San Marcos Springs,1956-10-17,1956,10,17,64
08170000,San Marcos Springs,1956-10-18,1956,10,18,59
08170000,San Marcos Springs,1956-10-19,1956,10,19,62
08170000,San Marcos Springs,1956-10-20,1956,10,20,63
08170000,San Marcos Springs,1956-10-21,1956,10,21,64
08170000,San Marcos Springs,1956-10-22,1956,10,22,65
08170000,San Marcos Springs,1956-10-23,1956,10,23,66
08170000,San Marcos Springs,1956-10-24,1956,10,24,68
08170000,San Marcos Springs,1956-10-25,1956,10,25,69
08170000,San Marcos Springs,1956-10-26,1956,10,26,69
08170000,San Marcos Springs,1956-10-27,1956,10,27,69
08170000,San Marcos Springs,1956-10-28,1956,10,28,69
08170000,San Marcos Springs,1956-10-29,1956,10,29,69
08170000,San Marcos Springs,1956-10-30,1956,10,30,69
08170000,San Marcos Springs,1956-10-31,1956,10,31,69
08170000,San Marcos Springs,1956-11-01,1956,11,1,67
08170000,San Marcos Springs,1956-11-02,1956,11,2,66
08170000,San Marcos Springs,1956-11-03,1956,11,3,68
08170000,San Marcos Springs,1956-11-04,1956,11,4,69
08170000,San Marcos Springs,1956-11-05,1956,11,5,69
08170000,San Marcos Springs,1956-11-06,1956,11,6,72
08170000,San Marcos Springs,1956-11-07,1956,11,7,72
08170000,San Marcos Springs,1956-11-08,1956,11,8,72
08170000,San Marcos Springs,1956-11-09,1956,11,9,72
08170000,San Marcos Springs,1956-11-10,1956,11,10,72
08170000,San Marcos Springs,1956-11-11,1956,11,11,72
08170000,San Marcos Springs,1956-11-12,1956,11,12,74
08170000,San Marcos Springs,1956-11-13,1956,11,13,74
08170000,San Marcos Springs,1956-11-14,1956,11,14,74
08170000,San Marcos Springs,1956-11-15,1956,11,15,72
08170000,San Marcos Springs,1956-11-16,1956,11,16,74
08170000,San Marcos Springs,1956-11-17,1956,11,17,72
08170000,San Marcos Springs,1956-11-18,1956,11,18,72
08170000,San Marcos Springs,1956-11-19,1956,11,19,72
08170000,San Marcos Springs,1956-11-20,1956,11,20,72
08170000,San Marcos Springs,1956-11-21,1956,11,21,72
08170000,San Marcos Springs,1956-11-22,1956,11,22,69
08170000,San Marcos Springs,1956-11-23,1956,11,23,66
08170000,San Marcos Springs,1956-11-24,1956,11,24,68
08170000,San Marcos Springs,1956-11-25,1956,11,25,68
08170000,San Marcos Springs,1956-11-26,1956,11,26,69
08170000,San Marcos Springs,1956-11-27,1956,11,27,69
08170000,San Marcos Springs,1956-11-28,1956,11,28,69
08170000,San Marcos Springs,1956-11-29,1956,11,29,68
08170000,San Marcos Springs,1956-11-30,1956,11,30,65
08170000,San Marcos Springs,1956-12-01,1956,12,1,65
08170000,San Marcos Springs,1956-12-02,1956,12,2,64
08170000,San Marcos Springs,1956-12-03,1956,12,3,66
08170000,San Marcos Springs,1956-12-04,1956,12,4,65
08170000,San Marcos Springs,1956-12-05,1956,12,5,64
08170000,San Marcos Springs,1956-12-06,1956,12,6,65
08170000,San Marcos Springs,1956-12-07,1956,12,7,60
08170000,San Marcos Springs,1956-12-08,1956,12,8,60
08170000,San Marcos Springs,1956-12-09,1956,12,9,65
08170000,San Marcos Springs,1956-12-10,1956,12,10,65
08170000,San Marcos Springs,1956-12-11,1956,12,11,65
08170000,San Marcos Springs,1956-12-12,1956,12,12,65
08170000,San Marcos Springs,1956-12-13,1956,12,13,65
08170000,San Marcos Springs,1956-12-14,1956,12,14,65
08170000,San Marcos Springs,1956-12-15,1956,12,15,65
08170000,San Marcos Springs,1956-12-16,1956,12,16,65
08170000,San Marcos Springs,1956-12-17,1956,12,17,65
08170000,San Marcos Springs,1956-12-18,1956,12,18,70
08170000,San Marcos Springs,1956-12-19,1956,12,19,75
08170000,San Marcos Springs,1956-12-20,1956,12,20,80
08170000,San Marcos Springs,1956-12-21,1956,12,21,82
08170000,San Marcos Springs,1956-12-22,1956,12,22,82
08170000,San Marcos Springs,1956-12-23,1956,12,23,82
08170000,San Marcos Springs,1956-12-24,1956,12,24,82
08170000,San Marcos Springs,1956-12-25,1956,12,25,82
08170000,San Marcos Springs,1956-12-26,1956,12,26,82
08170000,San Marcos Springs,1956-12-27,1956,12,27,80
08170000,San Marcos Springs,1956-12-28,1956,12,28,80
08170000,San Marcos Springs,1956-12-29,1956,12,29,80
08170000,San Marcos Springs,1956-12-30,1956,12,30,82
08170000,San Marcos Springs,1956-12-31,1956,12,31,82
08170000,San Marcos Springs,1957-01-01,1957,1,1,82
08170000,San Marcos Springs,1957-01-02,1957,1,2,82
08170000,San Marcos Springs,1957-01-03,1957,1,3,80
08170000,San Marcos Springs,1957-01-04,1957,1,4,80
08170000,San Marcos Springs,1957-01-05,1957,1,5,80
08170000,San Marcos Springs,1957-01-06,1957,1,6,74
08170000,San Marcos Springs,1957-01-07,1957,1,7,77
08170000,San Marcos Springs,1957-01-08,1957,1,8,77
08170000,San Marcos Springs,1957-01-09,1957,1,9,74
08170000,San Marcos Springs,1957-01-10,1957,1,10,77
08170000,San Marcos Springs,1957-01-11,1957,1,11,74
08170000,San Marcos Springs,1957-01-12,1957,1,12,77
08170000,San Marcos Springs,1957-01-13,1957,1,13,77
08170000,San Marcos Springs,1957-01-14,1957,1,14,74
08170000,San Marcos Springs,1957-01-15,1957,1,15,72
08170000,San Marcos Springs,1957-01-16,1957,1,16,74
08170000,San Marcos Springs,1957-01-17,1957,1,17,74
08170000,San Marcos Springs,1957-01-18,1957,1,18,74
08170000,San Marcos Springs,1957-01-19,1957,1,19,74
08170000,San Marcos Springs,1957-01-20,1957,1,20,74
