date,val,site
2024-09-17,95,Comal
2024-09-16,98,Comal
2024-09-15,99,Comal
2024-09-14,97,Comal
2024-09-13,97,Comal
2024-09-12,99,Comal
2024-09-11,100,Comal
2024-09-10,102,Comal
2024-09-09,101,Comal
2024-09-08,101,Comal
2024-09-07,100,Comal
2024-09-06,97,Comal
2024-09-05,94,Comal
2024-09-04,92,Comal
2024-09-03,90,Comal
2024-09-02,86,Comal
2024-09-01,85,Comal
2024-08-31,82,Comal
2024-08-30,81,Comal
2024-08-29,81,Comal
2024-08-28,81,Comal
2024-08-27,81,Comal
2024-08-26,81,Comal
2024-08-25,82,Comal
2024-08-24,82,Comal
2024-08-23,83,Comal
2024-08-22,83,Comal
2024-08-21,86,Comal
2024-08-20,89,Comal
2024-08-19,90,Comal
2024-08-18,92,Comal
2024-08-17,94,Comal
2024-08-16,96,Comal
2024-08-15,98,Comal
2024-08-14,101,Comal
2024-08-13,104,Comal
2024-08-12,107,Comal
2024-08-11,111,Comal
2024-08-10,111,Comal
2024-08-09,114,Comal
2024-08-08,115,Comal
2024-08-07,116,Comal
2024-08-06,118,Comal
2024-08-05,120,Comal
2024-08-04,121,Comal
2024-08-03,123,Comal
2024-08-02,125,Comal
2024-08-01,126,Comal
2024-07-31,123,Comal
2024-07-30,121,Comal
2024-07-29,118,Comal
2024-07-28,116,Comal
2024-07-27,113,Comal
2024-07-26,111,Comal
2024-07-25,108,Comal
2024-07-24,125,Comal
2024-07-23,112,Comal
2024-07-22,100,Comal
2024-07-21,99,Comal
2024-07-20,98,Comal
2024-07-19,96,Comal
2024-07-18,97,Comal
2024-07-17,99,Comal
2024-07-16,101,Comal
2024-07-15,100,Comal
2024-07-14,99,Comal
2024-07-13,99,Comal
2024-07-12,98,Comal
2024-07-11,98,Comal
2024-07-10,98,Comal
2024-07-09,99,Comal
2024-07-08,95,Comal
2024-07-07,91,Comal
2024-07-06,88,Comal
2024-07-05,84,Comal
2024-07-04,85,Comal
2024-07-03,86,Comal
2024-07-02,89,Comal
2024-07-01,92,Comal
2024-06-30,95,Comal
2024-06-29,98,Comal
2024-06-28,101,Comal
2024-06-27,103,Comal
2024-06-26,105,Comal
2024-06-25,104,Comal
2024-06-24,103,Comal
2024-06-23,101,Comal
2024-06-22,100,Comal
2024-06-21,99,Comal
2024-06-20,98,Comal
2024-06-19,97,Comal
2024-06-18,96,Comal
2024-06-17,97,Comal
2024-06-16,98,Comal
2024-06-15,99,Comal
2024-06-14,96,Comal
2024-06-13,94,Comal
2024-06-12,93,Comal
2024-06-11,90,Comal
2024-06-10,87,Comal
2024-06-09,84,Comal
2024-06-08,83,Comal
2024-06-07,85,Comal
2024-06-06,87,Comal
2024-06-05,89,Comal
2024-06-04,88,Comal
2024-06-03,90,Comal
2024-06-02,91,Comal
2024-06-01,97,Comal
2024-05-31,94,Comal
2024-05-30,101,Comal
2024-05-29,97,Comal
2024-05-28,98,Comal
2024-05-27,102,Comal
2024-05-26,105,Comal
2024-05-25,109,Comal
2024-05-24,111,Comal
2024-05-23,114,Comal
2024-05-22,116,Comal
2024-05-21,121,Comal
2024-05-20,136,Comal
2024-05-19,139,Comal
2024-05-18,140,Comal
2024-05-17,143,Comal
2024-05-16,142,Comal
2024-05-15,141,Comal
2024-05-14,142,Comal
2024-05-13,143,Comal
2024-05-12,144,Comal
2024-05-11,144,Comal
2024-05-10,144,Comal
2024-05-09,144,Comal
2024-05-08,145,Comal
2024-05-07,146,Comal
2024-05-06,148,Comal
2024-05-05,149,Comal
2024-05-04,150,Comal
2024-05-03,150,Comal
2024-05-02,150,Comal
2024-05-01,149,Comal
2024-04-30,150,Comal
2024-04-29,149,Comal
2024-04-28,147,Comal
2024-04-27,146,Comal
2024-04-26,144,Comal
2024-04-25,143,Comal
2024-04-24,143,Comal
2024-04-23,146,Comal
2024-04-22,147,Comal
2024-04-21,148,Comal
2024-04-20,150,Comal
2024-04-19,152,Comal
2024-04-18,152,Comal
2024-04-17,155,Comal
2024-04-16,156,Comal
2024-04-15,157,Comal
2024-04-14,158,Comal
2024-04-13,156,Comal
2024-04-12,154,Comal
2024-04-11,152,Comal
2024-04-10,150,Comal
2024-04-09,147,Comal
2024-04-08,147,Comal
2024-04-07,149,Comal
2024-04-06,148,Comal
2024-04-05,148,Comal
2024-04-04,147,Comal
2024-04-03,149,Comal
2024-04-02,152,Comal
2024-04-01,154,Comal
2024-03-31,156,Comal
2024-03-30,159,Comal
2024-03-29,161,Comal
2024-03-28,161,Comal
2024-03-27,162,Comal
2024-03-26,162,Comal
2024-03-25,162,Comal
2024-03-24,162,Comal
2024-03-23,162,Comal
2024-03-22,162,Comal
2024-03-21,162,Comal
2024-03-20,160,Comal
2024-03-19,159,Comal
2024-03-18,160,Comal
2024-03-17,158,Comal
2024-03-16,156,Comal
2024-03-15,154,Comal
2024-03-14,152,Comal
2024-03-13,152,Comal
2024-03-12,152,Comal
2024-03-11,152,Comal
2024-03-10,154,Comal
2024-03-09,157,Comal
2024-03-08,160,Comal
2024-03-07,161,Comal
2024-03-06,162,Comal
2024-03-05,162,Comal
2024-03-04,163,Comal
2024-03-03,165,Comal
2024-03-02,166,Comal
2024-03-01,168,Comal
2024-02-29,168,Comal
2024-02-28,169,Comal
2024-02-27,169,Comal
2024-02-26,170,Comal
2024-02-25,172,Comal
2024-02-24,174,Comal
2024-02-23,175,Comal
2024-02-22,176,Comal
2024-02-21,175,Comal
2024-02-20,176,Comal
2024-02-19,178,Comal
2024-02-18,179,Comal
2024-02-17,178,Comal
2024-02-16,179,Comal
2024-02-15,179,Comal
2024-02-14,180,Comal
2024-02-13,181,Comal
2024-02-12,183,Comal
2024-02-11,184,Comal
2024-02-10,186,Comal
2024-02-09,186,Comal
2024-02-08,188,Comal
2024-02-07,191,Comal
2024-02-06,192,Comal
2024-02-05,193,Comal
2024-02-04,194,Comal
2024-02-03,194,Comal
2024-02-02,195,Comal
2024-02-01,196,Comal
2024-01-31,199,Comal
2024-01-30,203,Comal
2024-01-29,205,Comal
2024-01-28,208,Comal
2024-01-27,196,Comal
