date,val,site
3/27/2025,627.93,J 17
3/27/2025,826.37,J 27
3/26/2025,64,Comal
3/26/2025,87,San Marcos
3/26/2025,626.29,J 17
3/26/2025,826.25,J 27
3/25/2025,62,Comal
3/25/2025,86,San Marcos
3/25/2025,626.47,J 17
3/25/2025,826.36,J 27
3/24/2025,62,Comal
3/24/2025,86,San Marcos
3/24/2025,626.79,J 17
3/24/2025,826.45,J 27
3/23/2025,62,Comal
3/23/2025,87,San Marcos
3/23/2025,626.86,J 17
3/23/2025,826.57,J 27
3/22/2025,62,Comal
3/22/2025,86,San Marcos
3/22/2025,626.28,J 17
3/22/2025,826.68,J 27
3/21/2025,64,Comal
3/21/2025,86,San Marcos
3/21/2025,626.36,J 17
3/21/2025,827.11,J 27
3/20/2025,65,Comal
3/20/2025,85,San Marcos
3/20/2025,626.67,J 17
3/20/2025,827.52,J 27
3/19/2025,67,Comal
3/19/2025,85,San Marcos
3/19/2025,627.01,J 17
3/19/2025,827.65,J 27
3/18/2025,69,Comal
3/18/2025,85,San Marcos
3/18/2025,627.24,J 17
3/18/2025,827.83,J 27
3/17/2025,70,Comal
3/17/2025,84,San Marcos
3/17/2025,627.45,J 17
3/17/2025,827.97,J 27
3/16/2025,72,Comal
3/16/2025,85,San Marcos
3/16/2025,628.34,J 17
3/16/2025,828.05,J 27
3/15/2025,73,Comal
3/15/2025,85,San Marcos
3/15/2025,628.2,J 17
3/15/2025,828.05,J 27
3/14/2025,74,Comal
3/14/2025,85,San Marcos
3/14/2025,628.2,J 17
3/14/2025,828,J 27
3/13/2025,74,Comal
3/13/2025,85,San Marcos
3/13/2025,628.45,J 17
3/13/2025,828.1,J 27
3/12/2025,74,Comal
3/12/2025,86,San Marcos
3/12/2025,628.62,J 17
3/12/2025,828.22,J 27
3/11/2025,78,Comal
3/11/2025,86,San Marcos
3/11/2025,629.35,J 17
3/11/2025,828.32,J 27
3/10/2025,80,Comal
3/10/2025,85,San Marcos
3/10/2025,629.58,J 17
3/10/2025,828.39,J 27
3/9/2025,80,Comal
3/9/2025,85,San Marcos
3/9/2025,629.78,J 17
3/9/2025,828.49,J 27
3/8/2025,82,Comal
3/8/2025,85,San Marcos
3/8/2025,629.82,J 17
3/8/2025,828.59,J 27
3/7/2025,82,Comal
3/7/2025,85,San Marcos
3/7/2025,629.67,J 17
3/7/2025,828.71,J 27
3/6/2025,83,Comal
3/6/2025,85,San Marcos
3/6/2025,630.06,J 17
3/6/2025,828.77,J 27
3/5/2025,84,Comal
3/5/2025,84,San Marcos
3/5/2025,630.24,J 17
3/5/2025,828.91,J 27
3/4/2025,84,Comal
3/4/2025,85,San Marcos
3/4/2025,630.33,J 17
3/4/2025,828.93,J 27
3/3/2025,86,Comal
3/3/2025,86,San Marcos
3/3/2025,630.42,J 17
3/3/2025,828.79,J 27
3/2/2025,87,Comal
3/2/2025,86,San Marcos
3/2/2025,630.77,J 17
3/2/2025,828.97,J 27
3/1/2025,88,Comal
3/1/2025,86,San Marcos
3/1/2025,630.78,J 17
3/1/2025,829,J 27
2/28/2025,90,Comal
2/28/2025,86,San Marcos
2/28/2025,630.63,J 17
2/28/2025,829.15,J 27
2/27/2025,91,Comal
2/27/2025,86,San Marcos
2/27/2025,630.68,J 17
2/27/2025,829.16,J 27
2/26/2025,91,Comal
2/26/2025,86,San Marcos
2/26/2025,630.93,J 17
2/26/2025,829.46,J 27
2/25/2025,91,Comal
2/25/2025,85,San Marcos
2/25/2025,631.23,J 17
2/25/2025,829.49,J 27
2/24/2025,631.42,J 17
2/24/2025,829.44,J 27
2/24/2025,90,Comal
2/24/2025,85,San Marcos
2/23/2025,88,Comal
2/23/2025,86,San Marcos
2/23/2025,631.6,J 17
2/23/2025,829.44,J 27
2/22/2025,86,Comal
2/22/2025,85,San Marcos
2/22/2025,631.25,J 17
2/22/2025,829.52,J 27
2/21/2025,85,Comal
2/21/2025,84,San Marcos
2/21/2025,630.63,J 17
2/21/2025,829.47,J 27
2/20/2025,85,Comal
2/20/2025,84,San Marcos
2/20/2025,630.52,J 17
2/20/2025,829.48,J 27
2/19/2025,84,Comal
2/19/2025,84,San Marcos
2/19/2025,630.64,J 17
2/19/2025,829.46,J 27
2/18/2025,85,Comal
2/18/2025,84,San Marcos
2/18/2025,630.97,J 17
2/18/2025,829.55,J 27
2/17/2025,85,Comal
2/17/2025,84,San Marcos
2/17/2025,631.19,J 17
2/17/2025,829.53,J 27
2/16/2025,86,Comal
2/16/2025,84,San Marcos
2/16/2025,631.27,J 17
2/16/2025,829.46,J 27
2/15/2025,87,Comal
2/15/2025,85,San Marcos
2/15/2025,631.35,J 17
2/15/2025,829.48,J 27
2/14/2025,87,Comal
2/14/2025,85,San Marcos
2/14/2025,630.68,J 17
2/14/2025,829.46,J 27
2/13/2025,86,Comal
2/13/2025,84,San Marcos
2/13/2025,630.68,J 17
2/13/2025,829.59,J 27
2/12/2025,86,Comal
2/12/2025,84,San Marcos
2/12/2025,630.82,J 17
2/12/2025,829.7,J 27
2/11/2025,85,Comal
2/11/2025,84,San Marcos
2/11/2025,630.58,J 17
2/11/2025,829.85,J 27
2/10/2025,85,Comal
2/10/2025,84,San Marcos
2/10/2025,630.66,J 17
2/10/2025,829.78,J 27
2/9/2025,84,Comal
2/9/2025,84,San Marcos
2/9/2025,630.79,J 17
2/9/2025,829.8,J 27
2/8/2025,83,Comal
2/8/2025,84,San Marcos
2/8/2025,630.71,J 17
2/8/2025,829.84,J 27
2/7/2025,83,Comal
2/7/2025,85,San Marcos
2/7/2025,630.52,J 17
2/7/2025,829.81,J 27
2/6/2025,84,Comal
2/6/2025,85,San Marcos
2/6/2025,630.63,J 17
2/6/2025,830.16,J 27
2/5/2025,630.67,J 17
2/5/2025,830.43,J 27
2/5/2025,84,Comal
2/5/2025,85,San Marcos
2/4/2025,630.84,J 17
2/4/2025,830.59,J 27
2/4/2025,84,San Marcos
2/4/2025,85,Comal
2/3/2025,631.17,J 17
2/3/2025,830.59,J 27
2/3/2025,85,San Marcos
2/3/2025,86,Comal
2/2/2025,631.71,J 17
2/2/2025,830.74,J 27
2/2/2025,85,San Marcos
2/2/2025,86,Comal
2/1/2025,631.56,J 17
2/1/2025,830.78,J 27
2/1/2025,85,San Marcos
